               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046037,            0.034552,                   0,             0.85498,             0.81938,             0.85621,             0.34964,            0.047916,            0.039925,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.049992,            0.036936,                   0,             0.88743,             0.85513,             0.89825,             0.36497,            0.047791,            0.039393,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,               0.049,            0.039093,                   0,             0.88858,             0.83804,             0.88279,             0.35155,            0.047478,             0.04086,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,              0.0471,             0.03781,                   0,             0.78024,             0.84746,              0.8386,             0.31462,            0.053834,            0.039603,                   0,            0.009604,            0.009604,            0.009604
                  42,             0.05128,            0.034399,                   0,             0.81801,             0.85424,             0.85031,             0.29838,            0.050949,            0.040098,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.050053,            0.036752,                   0,             0.87686,             0.86899,             0.90703,             0.36999,            0.049503,            0.039998,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.048322,            0.036407,                   0,             0.71256,             0.88236,             0.81123,             0.31554,            0.050519,            0.040983,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.050447,            0.035457,                   0,             0.83943,             0.85085,             0.87969,             0.32927,            0.047351,            0.039402,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.046697,             0.03283,                   0,             0.89217,             0.86944,             0.90841,             0.36455,            0.047096,             0.04021,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.046585,            0.035741,                   0,             0.87573,             0.85763,             0.90442,             0.35813,            0.045968,            0.039135,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.050821,             0.03517,                   0,             0.89684,             0.88475,             0.90926,             0.37426,            0.043504,            0.039658,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.047149,            0.035227,                   0,             0.87083,             0.81695,               0.843,              0.3246,             0.04786,            0.038731,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.048235,            0.031864,                   0,             0.90306,             0.85265,             0.90157,              0.3557,            0.045575,             0.03966,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,             0.04479,            0.034444,                   0,              0.8992,             0.87458,             0.92937,             0.37887,            0.045052,            0.039545,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.047315,            0.034849,                   0,             0.80999,             0.83814,             0.81548,             0.29572,            0.047033,            0.040171,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.051847,            0.035555,                   0,              0.8996,             0.88814,             0.90572,             0.38264,            0.044311,            0.040409,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.044444,            0.033329,                   0,             0.89237,             0.89933,             0.93706,             0.38847,            0.046053,            0.039563,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.046623,            0.034501,                   0,             0.86229,             0.82784,             0.87364,             0.35354,            0.048767,            0.039544,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.047577,             0.03398,                   0,             0.88247,              0.8908,             0.91156,             0.36377,            0.045608,            0.040621,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.041537,            0.030667,                   0,             0.90427,             0.86451,             0.90849,             0.37158,            0.044888,            0.039478,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.043926,            0.032373,                   0,              0.8614,             0.88487,              0.9066,             0.38008,            0.044818,            0.039039,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.043921,            0.031617,                   0,             0.88617,             0.89723,             0.92397,             0.37353,            0.046091,            0.038789,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.045917,            0.034167,                   0,             0.90746,             0.89153,             0.93006,             0.39656,            0.043051,            0.039118,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.047689,            0.031386,                   0,             0.90463,             0.90169,             0.93671,             0.38764,            0.043582,             0.03925,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.043467,            0.033526,                   0,             0.90019,             0.88662,             0.93277,             0.37378,            0.046797,            0.039515,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.047634,            0.031962,                   0,             0.87468,             0.87119,             0.91681,             0.37363,            0.045243,            0.038297,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.047031,            0.032358,                   0,             0.91097,             0.87458,             0.93335,             0.38894,            0.041036,            0.038674,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.042887,            0.032819,                   0,             0.90826,             0.89153,              0.9295,             0.40359,            0.047621,            0.039898,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.047251,            0.035034,                   0,             0.90185,             0.84098,             0.90507,             0.36519,            0.047901,            0.041244,                   0,           0.0093565,           0.0093565,           0.0093565
